"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"A Conformance Checking-based Approach for Drift Detection in Business Processes","https://scispace.com/papers/a-conformance-checking-based-approach-for-drift-detection-in-3wwgxig1qh","2021","Journal Article","IEEE Transactions on Services Computing","Víctor Gallego-Fontenla
Juan C. Vidal
Manuel Lama","10.1109/TSC.2021.3120031","https://arxiv.org/pdf/1907.04276.pdf","No"
"Rule based continuous drift and consistency management for complex systems","https://scispace.com/papers/rule-based-continuous-drift-and-consistency-management-for-54g8u9gcmy","2015","Patent","","Raja Chatterjee
Ashishkumar Gor","","","No"
"Drift detection and notification","https://scispace.com/papers/drift-detection-and-notification-2d4wlj1kbl","2012","Patent","","Haroon Ahmed
James D. Laflen","","","No"
"Advanced computer system drift detection","https://scispace.com/papers/advanced-computer-system-drift-detection-51kfw41488","2019","Patent","","Lahav Omri Moshe
Johnson Raoul Christopher
Tolpin David","","","No"
"A Conflict-based Drift Detection and Adaptation Approach for Multisensor Information Fusion","https://scispace.com/papers/a-conflict-based-drift-detection-and-adaptation-approach-for-jycdjqld9e","2018","Proceedings Article","Emerging Technologies and Factory Automation","Christoph-Alexander Holst
Volker Lohweg","10.1109/ETFA.2018.8502571","","No"
"Gradual Drift Detection in Process Models Using Conformance Metrics","https://scispace.com/papers/gradual-drift-detection-in-process-models-using-conformance-e9wtufqat3fb","2025","Journal Article","ACM Transactions on Knowledge Discovery From Data","Víctor Gallego-Fontenla
Pedro Gamallo-Fernandez
Juan C. Vidal
Manuel Lama","10.1145/3716169","","No"
"Detecting sudden and gradual drifts in business processes from execution traces","https://scispace.com/papers/detecting-sudden-and-gradual-drifts-in-business-processes-3t0dobaohx","2020","Journal Article","arXiv: Artificial Intelligence","Abderrahmane Maaradji
Marlon Dumas
Marcello La Rosa
Alireza Ostovar","10.1109/TKDE.2017.2720601","http://export.arxiv.org/pdf/2005.04016","Yes"
"Out-of-Distribution Detection and Data Drift Monitoring using Statistical Process Control","https://scispace.com/papers/out-of-distribution-detection-and-data-drift-monitoring-1wljaj13es","2024","Journal Article","arXiv.org","Ghada Zamzmi
Kesavan Venkatesh
Brandon Nelson
Smriti Prathapan
Paul H. Yi
Berkman Sahiner
Jana G. Delfino","10.48550/arxiv.2402.08088","","No"
"DriftInsight: Detecting Anomalous Behaviors in Large-Scale Cloud Platform","https://scispace.com/papers/driftinsight-detecting-anomalous-behaviors-in-large-scale-20kwf82z8u","2017","Proceedings Article","International Conference on Cloud Computing","Fan Jing Meng
Xiao Zhang
Pengfei Chen
Jing Min Xu","10.1109/CLOUD.2017.37","","No"
"Rendez-Vous Based Drift Diagnosis Algorithm for Sensor Networks Toward In Situ Calibration","https://scispace.com/papers/rendez-vous-based-drift-diagnosis-algorithm-for-sensor-11qy3ezm","2023","Journal Article","IEEE Transactions on Automation Science and Engineering","Florentin Delaine
Bérengère Lebental
Hervé Rivano","10.1109/TASE.2022.3182289","","No"
"Drift Detection and Handling","https://scispace.com/papers/drift-detection-and-handling-18n3kx91u8","2024","Book Chapter","Machine Learning: Foundations, Methodologies, and Applications","Thomas Bartz‐Beielstein
Lukas Hans","10.1007/978-981-99-7007-0_3","","No"
"Data drift detection and mitigation: A comprehensive MLOps approach for real-time systems","https://scispace.com/papers/data-drift-detection-and-mitigation-a-comprehensive-mlops-5qvvm1zkpipk","2024","Journal Article","International Journal of Science and Research Archive","Naveen Kodakandla","10.30574/ijsra.2024.12.1.0724","","No"
"Context-Aware Drift Detection","https://scispace.com/papers/context-aware-drift-detection-2qe136yn","2022","Proceedings Article","International Conference on Machine Learning","Oliver J. Cobb
Arnaud Van Looveren","10.48550/arXiv.2203.08644","","No"
"Drifter: Efficient Online Feature Monitoring for Improved Data Integrity in Large-Scale Recommendation Systems","https://scispace.com/papers/drifter-efficient-online-feature-monitoring-for-improved-160rx2sv7w","2023","Journal Article","arXiv.org","Blaz Skrlj
Nir Ki-Tov
Lee Edelist
Natalia Silberstein
Hila Weisman-Zohar
B. Mramor
Davorin Kopič
Naama Ziporin","10.48550/arxiv.2309.08617","https://scispace.com/pdf/drifter-efficient-online-feature-monitoring-for-improved-160rx2sv7w.pdf","No"
"UDDT: An Unsupervised Drift Detection Method for Industrial Time Series Data","https://scispace.com/papers/uddt-an-unsupervised-drift-detection-method-for-industrial-3b3eola7x6","2023","Proceedings Article","","Deepti Maduskar
Divyasheel Sharma
Chandrika Kr
Reuben Borrison
Gianluca Manca
Marcel Dix","10.1109/oncon60463.2023.10431133","","No"
"Concept Drift Monitoring and Diagnostics of Supervised Learning Models via Score Vectors","https://scispace.com/papers/concept-drift-monitoring-and-diagnostics-of-supervised-x20t8xah","2022","Journal Article","Technometrics","Dianne C. Mitchell","10.1080/00401706.2022.2124310","http://arxiv.org/pdf/2012.06916","Yes"
"Predictive drift detection and correction","https://scispace.com/papers/predictive-drift-detection-and-correction-6a6btt6vqb","2017","Patent","","Maughan Jason
James T. Lovell
Richard W. Wellman
Kelly D. Phillipps","","","No"
"Improving Drift Detection by Monitoring Shapley Loss Values","https://scispace.com/papers/improving-drift-detection-by-monitoring-shapley-loss-values-3cc1eywe","2022","Book Chapter","Lecture Notes in Computer Science","Bastien Zimmermann
Mathieu Boussard","10.1007/978-3-031-09282-4_38","","No"
"Data Drift Monitoring for Log Anomaly Detection Pipelines","https://scispace.com/papers/data-drift-monitoring-for-log-anomaly-detection-pipelines-5dv7weqbbp","","Journal Article","arXiv.org","Dipak Wani
Samuel Ackerman
Eitan Farchi
Sarasi Lalithsena","10.48550/arxiv.2310.14893","","No"
"Comprehensive Process Drift Detection with Visual Analytics","https://scispace.com/papers/comprehensive-process-drift-detection-with-visual-analytics-3wfjao3tb1","2019","","","Anton Yeshchenko
Claudio Di Ciccio
Jan Mendling
Artem Polyvyanyy","","https://scispace.com/https://minerva-access.unimelb.edu.au/bitstream/handle/11343/258888/057 - ER 2019 - Comprehensive Process Drift Detection with Visual Analytics - POSTPRINT.pdf","Yes"
"Towards non-parametric drift detection via Dynamic Adapting Window Independence Drift Detection (DAWIDD)","https://scispace.com/papers/towards-non-parametric-drift-detection-via-dynamic-adapting-3b373cqg4m","2020","Proceedings Article","International Conference on Machine Learning","Fabian Hinder
André Artelt
Citec Barbara Hammer","","https://scispace.com/pdf/towards-non-parametric-drift-detection-via-dynamic-adapting-3b373cqg4m.pdf","Yes"
"RDDM: Reactive drift detection method","https://scispace.com/papers/rddm-reactive-drift-detection-method-3dqroh5i0c","2017","Journal Article","Expert Systems With Applications","Roberto Souto Maior de Barros
Danilo Rafael de Lima Cabral
Paulo Mauricio Gonçalves
Silas Garrido Teixeira de Carvalho Santos","10.1016/J.ESWA.2017.08.023","","No"
"An unsupervised methodology for online drift detection in multivariate industrial datasets","https://scispace.com/papers/an-unsupervised-methodology-for-online-drift-detection-in-38g4f5iew1","2020","Proceedings Article","International Conference on Data Mining","Sarah Klein
Mathias Verbeke","10.1109/ICDMW51313.2020.00061","","No"
"Comparison of Off-the-Shelf Methods and a Hotelling Multidimensional Approximation for Data Drift Detection","https://scispace.com/papers/comparison-of-off-the-shelf-methods-and-a-hotelling-16dr56lqik1k","2024","Journal Article","Machine learning and knowledge extraction","J. Ramón Navarro-Cerdán
Vicent Ortiz Castelló
David Millán Escrivá","10.3390/make7010002","","No"
"Evaluation of Drift Detection Algorithms in the Condition Monitoring Domain","https://scispace.com/papers/evaluation-of-drift-detection-algorithms-in-the-condition-232ienhikgy6","","Journal Article","IEEE Transactions on Industrial Informatics","Alireza Estaji
Maximilian Götzinger
Benedikt Tutzer
Stefan Kollmann
Thilo Sauter
Axel Jantsch","10.1109/tii.2024.3452208","","No"
"Concept Drift Detection Delay Index","https://scispace.com/papers/concept-drift-detection-delay-index-29zrzdad","2023","Journal Article","IEEE Transactions on Knowledge and Data Engineering","Anjin Liu
Jie Lu
Yiliao Song
Junyu Xuan
Guang-Lin Zhang","10.1109/TKDE.2022.3153349","","No"
"Unveiling dynamics changes: Singular spectrum analysis-based method for detecting concept drift in industrial data streams","https://scispace.com/papers/unveiling-dynamics-changes-singular-spectrum-analysis-based-47frj0hp60","2024","Journal Article","Knowledge Based Systems","Yuyan Zhang
Zhe Liu
Chunjie Yang
Xiaoke Huang
Siwei Lou
Hanwen Zhang
Duojin Yan","10.1016/j.knosys.2024.111640","","No"
"Tackling data and model drift in AI: Strategies for maintaining accuracy during ML model inference","https://scispace.com/papers/tackling-data-and-model-drift-in-ai-strategies-for-4hpuyvpizq23","2023","Journal Article","International Journal of Science and Research Archive","Surya Gangadhar Patchipala","10.30574/ijsra.2023.10.2.0855","","No"
"Detecting drift from event streams of unpredictable business processes","https://scispace.com/papers/detecting-drift-from-event-streams-of-unpredictable-business-1ofdon1e3o","2016","Book Chapter","International Conference on Conceptual Modeling","Alireza Ostovar
Abderrahmane Maaradji
Marcello La Rosa
Arthur H. M. ter Hofstede
Arthur H. M. ter Hofstede
Boudewijn F. van Dongen","10.1007/978-3-319-46397-1_26","","No"
"Detecting Drift in Deep Learning: A Methodology Primer","https://scispace.com/papers/detecting-drift-in-deep-learning-a-methodology-primer-b2skd1o1","2022","Journal Article","IT Professional","","10.1109/mitp.2022.3191318","","No"
"Characterizing drift from event streams of business processes","https://scispace.com/papers/characterizing-drift-from-event-streams-of-business-2ufopi3w0j","2017","Book Chapter","Conference on Advanced Information Systems Engineering","Alireza Ostovar
Abderrahmane Maaradji
Marcello La Rosa
Arthur H. M. ter Hofstede","10.1007/978-3-319-59536-8_14","https://scispace.com/pdf/characterizing-drift-from-event-streams-of-business-2ufopi3w0j.pdf","Yes"
"Augur","https://scispace.com/papers/augur-2wqai734","2022","Proceedings Article","","Grace A. Lewis
Sebastian Echeverria
Lena Pons
Jeffrey Chrabaszcz","10.1145/3526073.3527590","","Yes"
"Transformation drift detection and remediation","https://scispace.com/papers/transformation-drift-detection-and-remediation-19zyh2cf92","2019","Patent","","Shah Rupal Jatinkumar","","","No"
"Handling Concept Drift in Data Streams by Using Drift Detection Methods","https://scispace.com/papers/handling-concept-drift-in-data-streams-by-using-drift-auk5h7a93y","2019","Book Chapter","","Malini M. Patil","10.1007/978-981-13-1274-8_12","","No"
"Detecting and Identifying Data Drifts in Process Event Streams Based on Process Histories","https://scispace.com/papers/detecting-and-identifying-data-drifts-in-process-event-1ygu69xqvg","2019","Book Chapter","Conference on Advanced Information Systems Engineering","Florian Stertz
Stefanie Rinderle-Ma","10.1007/978-3-030-21297-1_21","","No"
"Detecting drifts in data streams using Kullback-Leibler (KL) divergence measure for data engineering applications","https://scispace.com/papers/detecting-drifts-in-data-streams-using-kullback-leibler-kl-wm9uk7yhe1","2024","Journal Article","Journal of Data, Information and Management","Job Kurian
Mohamed Allali","10.1007/s42488-024-00119-y","https://scispace.com/pdf/detecting-drifts-in-data-streams-using-kullback-leibler-kl-wm9uk7yhe1.pdf","No"
"Detecting and addressing model drift: Automated monitoring and real-time retraining in ML pipelines","https://scispace.com/papers/detecting-and-addressing-model-drift-automated-monitoring-pagw13st56ub","2019","Journal Article","World Journal Of Advanced Research and Reviews","Mohan Raja Pulicharla","10.30574/wjarr.2019.3.2.0189","","No"
"A multi-components approach to monitoring process structure and customer behaviour concept drift","https://scispace.com/papers/a-multi-components-approach-to-monitoring-process-structure-nyh2q3n3","2022","Journal Article","Expert Systems With Applications","Lingkai Yang
Sally McClean
Mark Donnelly
Kevin Burke
Kashaf Naseer Khan","10.1016/j.eswa.2022.118533","","No"
"Open-Source Drift Detection Tools in Action: Insights from Two Use Cases","https://scispace.com/papers/open-source-drift-detection-tools-in-action-insights-from-2eomdc8p27","2024","Preprint","","Renate Müller
Mohamed Abdelaal
Davor Stjelja","10.48550/arxiv.2404.18673","https://scispace.com/pdf/open-source-drift-detection-tools-in-action-insights-from-2eomdc8p27.pdf","No"
"Federated Learning Drift Detection: An Empirical Study on the Impact of Concept and Data Drift","https://scispace.com/papers/federated-learning-drift-detection-an-empirical-study-on-the-363ui0unj5se","2024","Journal Article","","Leyla Rahimli
Feras M. Awaysheh
Sawsan Al Zubi
Sadi Alawadi","10.1109/flta63145.2024.10839814","","No"
"Drift detection using stream volatility","https://scispace.com/papers/drift-detection-using-stream-volatility-2bbeexqgfz","2015","Book Chapter","European conference on Machine Learning","David Tse Jung Huang
Yun Sing Koh
Gillian Dobbie
Albert Bifet","10.1007/978-3-319-23528-8_26","","No"
"Adaptation for Automated Drift Detection in Electromechanical Machine Monitoring.","https://scispace.com/papers/adaptation-for-automated-drift-detection-in-1wdr7xw8","2022","Journal Article","IEEE transactions on neural networks and learning systems","Daisy Hikari Green
Aaron W. Langham
Rebecca A. Agustin
Devin W. Quinn
S. Lee","10.1109/TNNLS.2022.3184011","","No"
"AutoDrift: A Forecast-Aware Concept Drift Detection and Retraining Pipeline in MLOps with CMAPSS","https://scispace.com/papers/autodrift-a-forecast-aware-concept-drift-detection-and-64cw1f2w4t55","2025","Journal Article","","Raj Kumar Myakala
Praveen Kumar Nagata
Sampath Lavudya
Sanjeev Kumar Pedhapally
Vinithya Reddy Podduturi","10.1109/bigdataservice65758.2025.00019","","No"
